FromRoleLabel,ToRoleLabel,Count,OverallPrevalence,ConditionalProbability,MeanRunPrevalence,StdDevRunPrevalence,MeanPhase
Local Explorer,Exploiter,195,0.24652339,0.82627119,0.22652841,0.10676647,0.50598276
Exploiter,Local Explorer,172,0.21744627,0.50737463,0.18529982,0.09450501,0.52820549
Exploiter,Refiner,138,0.17446271,0.40707965,0.12880658,0.08914707,0.45164774
Refiner,Exploiter,137,0.17319848,0.81547619,0.12704023,0.08712137,0.45587742
Global Explorer,Local Explorer,35,0.04424779,0.97222222,0.12921691,0.16783274,0.19046676
Refiner,Local Explorer,27,0.03413401,0.16071429,0.02491417,0.02900832,0.59792960
Local Explorer,Refiner,27,0.03413401,0.11440678,0.02467598,0.03055873,0.52231176
Exploiter,Global Explorer,18,0.02275601,0.05309735,0.03344456,0.06744283,0.96259249
Local Explorer,Global Explorer,14,0.01769912,0.05932203,0.08968682,0.17534914,0.89200221
Exploiter,Polisher,11,0.01390645,0.03244838,0.01243007,0.02613664,0.44060784
Polisher,Exploiter,6,0.00758534,0.50000000,0.00561875,0.01169445,0.42299148
Polisher,Refiner,3,0.00379267,0.25000000,0.00219444,0.00673273,0.23125000
Refiner,Global Explorer,3,0.00379267,0.01785714,0.00271251,0.00833614,0.96889359
Polisher,Local Explorer,2,0.00252845,0.16666667,0.00146032,0.00557988,0.68428571
Polisher,Global Explorer,1,0.00126422,0.08333333,0.00416667,0.02282177,0.93750000
Global Explorer,Exploiter,1,0.00126422,0.02777778,0.00079365,0.00434700,0.89285714
Refiner,Polisher,1,0.00126422,0.00595238,0.00101010,0.00553255,0.28787879
