FromRoleLabel,ToRoleLabel,Count,OverallPrevalence,ConditionalProbability,MeanRunPrevalence,StdDevRunPrevalence,MeanPhase
Refiner,Exploiter,2307,0.26284607,0.63136289,0.24096792,0.08287778,0.41661068
Exploiter,Refiner,2269,0.25851658,0.76655405,0.23782143,0.07969985,0.40695981
Polisher,Refiner,1389,0.15825453,0.83373349,0.14671073,0.06589379,0.73300521
Refiner,Polisher,1325,0.15096274,0.36261631,0.13988127,0.06168892,0.73024213
Local Explorer,Exploiter,365,0.04158596,0.86492891,0.07410653,0.11735248,0.23184247
Exploiter,Local Explorer,343,0.03907941,0.11587838,0.07129206,0.11674938,0.24168894
Exploiter,Polisher,341,0.03885154,0.11520270,0.03453004,0.01491113,0.56470743
Polisher,Exploiter,273,0.03110402,0.16386555,0.02683653,0.01278041,0.52497389
Global Explorer,Local Explorer,55,0.00626638,0.73333333,0.00963089,0.01217487,0.01231801
Local Explorer,Global Explorer,39,0.00444343,0.09241706,0.00865752,0.01715920,0.09891256
Refiner,Local Explorer,20,0.00227868,0.00547345,0.00253557,0.00575327,0.21931980
Global Explorer,Exploiter,16,0.00182295,0.21333333,0.00304625,0.00607483,0.03869130
Local Explorer,Refiner,15,0.00170901,0.03554502,0.00113891,0.00303902,0.19445756
Exploiter,Global Explorer,7,0.00079754,0.00236486,0.00119249,0.00310199,0.02440105
Global Explorer,Refiner,4,0.00045574,0.05333333,0.00041643,0.00109172,0.03599645
Polisher,Local Explorer,4,0.00045574,0.00240096,0.00072232,0.00253147,0.36738382
Local Explorer,Polisher,3,0.00034180,0.00710900,0.00027787,0.00085902,0.18706636
Refiner,Global Explorer,2,0.00022787,0.00054735,0.00023523,0.00089622,0.03222881
